rename_ccodificador;1;"Rename User 'Carlos Codificador'";/intranet/users/view?user_id=8892;;"This user is one of the two predefined system administrators in the system. Please edit name and email to an administration user in your organization. As an alternative you can delete the user if you remove him from the ']po[ Admins' group."
rename_sysadmin;1;"Rename User 'System Administrator'";/intranet/users/view?user_id=624;;"The 'System Administrator' is the user that owns all important system objects. You can't delete this user, but you can edit its name and email. Just don't lock yourself out of the system…"
delete_demodata;1;Delete Demo Data;/intranet/admin/cleanup-demo/index;configuration_cleanup_demo_data;"Delete the 'Tigerpond' sample company including it's sample projects, users and companies."
cost_centers;1;Configure Departments and Cost Centers;/intranet-cost/cost-centers/index;configuration_cost_centers;"Define your department and cost center hierarchy. Please read about the 'Cost Center Code' in the help section."
login_page_customization;1;Login Page Customization;/;configuration_first_page;You can modify the $po login page by manually editing the file /web/projop/www/index.adp or C:\project-open\servers\projop\www\index.adp. This ADP page is plain HTML, so it should be easy to modify.


import_master_data;0;Import Master Data;;;The following basic steps are required on nearly all systems.
import_projects;1;Import Projects;/intranet-csv-import/index?object_type=im_project;configuration_csv_import;Import a list of projects into $po. You can use the Projects -> Export Projects CSV function in order to create sample input.
import_companies;1;Import Companies;/intranet-csv-import/index?object_type=im_company;configuration_csv_import;Import a list of companies into $po. You can use the Companies -> Export Commpanies CSV function in order to create sample input.
import_users;1;Import Users;/intranet-csv-import/index?object_type=person;configuration_csv_import;Import a list of users into $po. You can use Users -> Export Users CSV in order to create sample input. Please note that the LDAP Import below is an alternative for importing users.
ldap;1;Active Directory LDAP Integration;/intranet-sysconfig/ldap/index;configuration_ldap;Set up an integration with an Active Directory server in order to import users and user permissions.



configure_categories;0;Configure Categories;;configuration_categories;'"Categories' define the types and states of all important $po objects. In order to disable categories please click the t=true or f=false letter in the 'En'=enabled column."
project_status;1;Define Project Lifecycle States;/intranet/admin/categories/index?select_category_type=Intranet+Project+Status;category_intranet_project_status;Determine the life cycle of projects from creation to retirement.
project_type;1;Define Project Types;/intranet/admin/categories/index?select_category_type=Intranet+Project+Type;category_intranet_project_type;Define which types of projects are useful for your organization. Please see the help section for a detailed description of the various project types and their add-on functionality.
company_status;1;Define Company Lifecycle States;/intranet/admin/categories/index?select_category_type=Intranet+Company+Status;category_intranet_company_status;Determine the life cycle of companies from creation to retirement.
company_type;1;Define Company Types;/intranet/admin/categories/index?select_category_type=Intranet+Company+Type;category_intranet_company_type;Define which types of companies are useful for your organization. Please see the help section for a detailed description of the various company types and their role in the system.
other_categories;1;Review Other Categories;/intranet/admin/categories/index;configuration_categories;"Review other categories - there are many more category types that influence the behaviour of $po. Company Types have a 'Context Help' function associated."



dynfield_configuration;0;Dynfield Configuration;;;Dynfields allow you to extend $po objects with customer specific fields. You might want to contract training or consulting services for advanced configurations.
dynfield_widget_gallery;1;Explore DynField Widgets;/intranet-dynfield/widget-examples;configuration_dynfield;"Please explore the collection of predefined examples of dynfield 'widgets' (entry fields and value range)."
project_dynfields;1;Project Dynamic Fields;/intranet-dynfield/object-type?object_type=im_project;configuration_dynfield;Allows you to define additional attributes for projects.
company_dynfields;1;Company Dynamic Fields;/intranet-dynfield/object-type?object_type=im_company;configuration_dynfield;Allows you to define additional attributes for companies (customers and providers)
user_dynfields;1;User Dynamic Fields;/intranet-dynfield/object-type?object_type=person;configuration_dynfield;Allows you to define additional attributes for users.
dynfield_widgets;1;Define Custom Widgets;/intranet-dynfield/widgets;configuration_dynfield;You can define new widgets yourself, if you are IT savvy. Please start off defining new widgets by using an existing widget as a template.



financial_configuration;0;Financial Configuration;;;You only need this section if you are going to use $po for invoicing and other financial operations.
default_currency;1;System Default Currency;/shared/parameters?package_id=$package_intranet_cost;configuration_default_currency;"Please modify the parameter 'DefaultCurrency' in order to set the system's default (EUR, USD, …) that is used across the financial system."
materials;1;Review Materials (Service Types);/intranet-material/index;configuration_materials;Materials are the key to determine the price of services billed to a customer. Here you can define your organization's services.
invoice_templates;1;Invoice Templates;/intranet/admin/templates/index;configuration_templates;Allows you to update and modify templates used to format invoices and other financial documents for your organization. This is important if you want to send out invoices to your customers directly from $po



advanced_permissions;0;Advanced Permissions;;;$po includes a very detailed permission system that is suitable for many organizations without the need for customization. You might want to contract training or consulting services for advanced configurations.
other_profiles;1;"Review 'Privilege' Permissions";/intranet/admin/profiles/index;configuration_profiles;"Please review the 'privileges' (i.e. transaction permissions). These permissions allow you to fine-tune permissions of different user groups."
user_matrix;1;"Review 'User Matrix' Permissions";/intranet/admin/user_matrix/index;configuration_user_matrix;Delegate user administration or define visibility between different user groups: This matix defines who (on the top horizontal bar) is allowed to V=view, R=read, W=write or A=admin) other users. 
other_parameters;1;Review Other Parameters;/intranet/admin/parameters/index;configuration_parameters;Review other parameters - these parameters define the specific variants of processes in $po. There is an explanation for every parameter.
other_portlets;1;Portlet Manager;/intranet/admin/components/index;configuration_portlets;Review all remaining portlets in the system in order to simplify the system or to set permissions on portlets.






package_manager;1;Package Manager;/acs-admin/apm/index;configuration_package_manager;"Install and update packages: This function is also available via the 'APM' menu on the Developer Support bar at the very top."
rest_api;1;REST API;/intranet-rest/index;configuration_rest;Review the permissions for the REST Web-services API in order to grant external systems access to $po objects.
localization;1;Review GUI Translation;/acs-lang/admin/index;configuration_l10n;You can modify the translation of GUI strings to your preferences.






project_list_dynview;1;Project List Columns;/intranet/admin/views/new?view_id=20;configuration_dynview;"Review the columns in the 'Projects' page. You can add or modify columns, if you have basic programming knowledge."
company_list_dynview;1;Company List Columns;/intranet/admin/views/new?view_id=1;configuration_dynview;"Review the columns in the 'Companies' page. You can add or modify columns, if you have basic programming knowledge."
user_list_dynview;1;User List Columns;/intranet/admin/views/new?view_id=10;configuration_dynview;"Review the columns in the 'Users' page. You can add or modify columns, if you have basic programming knowledge."

user_exits;1;User Exits;/intranet/admin/user_exits/index;configuration_user_exits;Allows you to define customized action that are executed every time that you create or modify an object in $po. For example, you could create file storage folders for new projects, or set up new LDAP accounts for newly created users.

workflows;1;Dynamic Workflows;/acs-workflow/admin/index;configuration_workflow;Allows you to define complex workflows that are executed every time you create a new object.
